Id,College Name,Course,DEFOBCS,DEFOPENS,DEFRNT1S,DEFRNT2S,DEFRNT3S,DEFROBCS,DEFRSCS,DEFRVJS,DEFSCS,EWS,GNT1H,GNT1O,GNT1S,GNT2H,GNT2O,GNT2S,GNT3H,GNT3O,GNT3S,GOBCH,GOBCO,GOBCS,GOPENH,GOPENO,GOPENS,GSCH,GSCO,GSCS,GSTH,GSTO,GSTS,GVJH,GVJO,GVJS,LNT1H,LNT1O,LNT1S,LNT2H,LNT2O,LNT2S,LNT3H,LNT3O,LNT3S,LOBCH,LOBCO,LOBCS,LOPENH,LOPENO,LOPENS,LSCH,LSCO,LSCS,LSTH,LSTO,LSTS,LVJH,LVJO,LVJS,MI,ORPHAN,PWDOBCH,PWDOBCS,PWDOPENH,PWDOPENS,PWDRNT1S,PWDRNT2H,PWDRNT2S,PWDROBC,PWDRSCH,PWDRSCS,PWDRVJH,PWDRVJS,PWDSCH,PWDSCS,TFWS
111619110,"Shri Shivaji Education Society's College of Engineering and Technology, Akola",Civil Engineering,,,,,,,,,,101266,116759,118818,,,,,,,,114658,121485,,97145,112280,,113721,,,,,,,,,,,,,,,,,,106879,110525,,103524,110016,,,120251,,,,,,,,,,,,83828,,,,,,,,,,,,76394
111624210,"Shri Shivaji Education Society's College of Engineering and Technology, Akola",Computer Science and Engineering,,103395,,,,,,,,78338,60776,72082,,67242,73516,,93338,89895,,62463,78995,,59880,71199,,74746,79490,,,,,64605,118025,,,,,85282,,,,,,60058,85688,,48726,67604,,70798,77421,,,,,68582,,,,,,,,,,,,,,,,,,,42623
111650710,"Shri Shivaji Education Society's College of Engineering and Technology, Akola",Chemical Engineering,,,,,,,,,,121171,115584,,,,,,,,,121418,120225,,94719,120977,,118332,117836,,,,,,,,,,,,,,,,,115352,74401,,87211,44049,,92017,72548,,,,,,,,,,,,,,,,,,,,,,,,
111661210,"Shri Shivaji Education Society's College of Engineering and Technology, Akola",Mechanical Engineering,,,,,,,,,,121306,,,,,,,,,,121327,119986,,116356,119492,,,,,,,,,,,,,,,,,,,,,,,111244,120745,,,,,,,,,,,,,,,,,,,,,,,,,,,
111719110,"Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad",Civil Engineering,,,,,,,,,,101105,102186,,,118497,,,,,,122003,,,98771,96072/99053,,115127,,,,,,99043,,,,,,,,,,,,111124,,,101453,92516,,,,,,,,,,,,,,,,,,,,,,,,,,,
111724210,"Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad",Computer Science and Engineering,,,,,,,,,,66488,69455,84265,,73273,114847,,95619,108017,,75196,89476,,65842,70163,,81784,103525,,104614,88434,,67373,88587,,,,,,,,,,,66550,67903,,53391,86867,,84576,108310,,73086,,,,,,,,,,,,,,,,,,,,,,31207
111735610,"Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad",Electrical Engg[Electronics and Power],,,,,,,,,,85935,94919,,,106370,,,,,,100150,105359,,88546,115560,,115012,116872,,,,,,,,,,,,,,,,,99726,,,88197,109359,,,,,,,,,,,,,,,,,,,,,,,,,,,
111761210,"Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad",Mechanical Engineering,,,,,,,,,,115112,109557,,,108917,115144,,,,,110409,108298,,101655,103772/119229,,,,,,,,112795,112599,,,,,,,,,,,,120460,,108437,104257,,116081,,,,,,,,,,,,,,,,,,,,,,,,,
111799510,"Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad",Artificial Intelligence and Data Science,,,,,,,,,,70520,74700,,,79032,,,,,,83288,106674,,71129,96876,,102995,104014,,,,,71670,,,,,,,,,,,,82979,86043,,71345,101355,,86168,,,,,,,,,,,,,,,,,,,,,,,,,
111924210,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali",Computer Science and Engineering,,97406,,,,,,,,83218,59687,,,64836,,,67706,,,60106,87616,,55510,62890,,71782,76159,,,,,74384,,,,,,,,,,,,65456,78654,,64156,52742,,79876,,,,,,,,,,,,,106681,,,,,,,,,,,,31622
111924610,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali",Information Technology,,103612,,,,,,,,94920,69328,,,81205,106509,,82946,,,70601,86676,,66600,66535,,79017,98722,,,,,85503,96535,,,,,,,,,,,70622,97589,,67384,66578,,91941,92071,,,,,,,,,,,,,,,,,,,,,,,,42126
111937210,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali",Electronics and Telecommunication Engg,,,,,,,,,,120892,90444,107037,,,,,119565,,,92420,120411/94799,,87154,117810,,96360,94768,,,,,,,,,,,,,,,,,93777,111920,,85572,99455,,92099,93995,,,,,,,,,,,,,,,,,,,,,,,,
