Id,College Name,Course,DEFOBCS,DEFOPENS,DEFRNT1S,DEFRNT2S,DEFRNT3S,DEFROBCS,DEFRSCS,DEFRVJS,DEFSCS,EWS,GNT1H,GNT1O,GNT1S,GNT2H,GNT2O,GNT2S,GNT3H,GNT3O,GNT3S,GOBCH,GOBCO,GOBCS,GOPENH,GOPENO,GOPENS,GSCH,GSCO,GSCS,GSTH,GSTO,GSTS,GVJH,GVJO,GVJS,LNT1H,LNT1O,LNT1S,LNT2H,LNT2O,LNT2S,LNT3H,LNT3O,LNT3S,LOBCH,LOBCO,LOBCS,LOPENH,LOPENO,LOPENS,LSCH,LSCO,LSCS,LSTH,LSTO,LSTS,LVJH,LVJO,LVJS,MI,ORPHAN,PWDOBCH,PWDOBCS,PWDOPENH,PWDOPENS,PWDRNT1S,PWDRNT2H,PWDRNT2S,PWDROBC,PWDRSCH,PWDRSCS,PWDRVJH,PWDRVJS,PWDSCH,PWDSCS,TFWS
319491210,"Vidyavardhini's College of Engineering and Technology, Vasai",Computer Science and Engineering(Data Science),,,,,,,,,,,,,,,55279,,,,,,44712,,,41298,,,65235,,,,,,,,,,,,,,,,,,93885,,,64319,,,77294,,,,,,,,,,,,,,,,,,,,,,,,
319491210,"Vidyavardhini's College of Engineering and Technology, Vasai",Computer Science and Engineering(Data Science),,75011,,,,,,,,37801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13601
319499510,"Vidyavardhini's College of Engineering and Technology, Vasai",Artificial Intelligence and Data Science,,,,,,,,,,,46695,,,72787,,,43747,,,27691,,,19886,,,39442,,,,,,79963,,,,,,,,,,,,40322,,,23162,,,56451,,,,,,,,,,,,,,,,,,,,,,,,,
319499510,"Vidyavardhini's College of Engineering and Technology, Vasai",Artificial Intelligence and Data Science,,,,,,,,,,,,,,,108160,,,,,,39715,,,33260,,,47173,,,,,,,,,,,,,,,,,,84911,,,65514,,,100701,,,,,,,,,,,,,,,,,,,,,,,,
319499510,"Vidyavardhini's College of Engineering and Technology, Vasai",Artificial Intelligence and Data Science,,,,,,,,,,36331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15327
319624510,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Computer Engineering,,,,,,,,,,,,,,,,,,,,,,,20397,,,,,,,,,,,,,,,,,,,,,,,,21079,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319624510,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Computer Engineering,,,,,,,,,,,,,,,,,,,,,,,,30000,,,,,,,,,,,,,,,,,,,,,,,,36006,,,,,,,,,,,,,,,,,,,,,,,,,,,
319624510,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Computer Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36344,,,,,,,,,,,,,,,,12938
319629310,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Electrical Engineering,,,,,,,,,,,,,,,,,,,,,,,73746,,,,,,,,,,,,,,,,,,,,,,,,61305,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319629310,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Electrical Engineering,,,,,,,,,,,,,,,,,,,,,,,,116419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
