Id,College Name,Course,DEFOBCS,DEFOPENS,DEFRNT1S,DEFRNT2S,DEFRNT3S,DEFROBCS,DEFRSCS,DEFRVJS,DEFSCS,EWS,GNT1H,GNT1O,GNT1S,GNT2H,GNT2O,GNT2S,GNT3H,GNT3O,GNT3S,GOBCH,GOBCO,GOBCS,GOPENH,GOPENO,GOPENS,GSCH,GSCO,GSCS,GSTH,GSTO,GSTS,GVJH,GVJO,GVJS,LNT1H,LNT1O,LNT1S,LNT2H,LNT2O,LNT2S,LNT3H,LNT3O,LNT3S,LOBCH,LOBCO,LOBCS,LOPENH,LOPENO,LOPENS,LSCH,LSCO,LSCS,LSTH,LSTO,LSTS,LVJH,LVJO,LVJS,MI,ORPHAN,PWDOBCH,PWDOBCS,PWDOPENH,PWDOPENS,PWDRNT1S,PWDRNT2H,PWDRNT2S,PWDROBC,PWDRSCH,PWDRSCS,PWDRVJH,PWDRVJS,PWDSCH,PWDSCS,TFWS,DEFOBCS_Percentile,DEFOPENS_Percentile,DEFRNT1S_Percentile,DEFRNT2S_Percentile,DEFRNT3S_Percentile,DEFROBCS_Percentile,DEFRSCS_Percentile,DEFRVJS_Percentile,DEFSCS_Percentile,EWS_Percentile,GNT1H_Percentile,GNT1O_Percentile,GNT1S_Percentile,GNT2H_Percentile,GNT2O_Percentile,GNT2S_Percentile,GNT3H_Percentile,GNT3O_Percentile,GNT3S_Percentile,GOBCH_Percentile,GOBCO_Percentile,GOBCS_Percentile,GOPENH_Percentile,GOPENO_Percentile,GOPENS_Percentile,GSCH_Percentile,GSCO_Percentile,GSCS_Percentile,GSTH_Percentile,GSTO_Percentile,GSTS_Percentile,GVJH_Percentile,GVJO_Percentile,GVJS_Percentile,LNT1H_Percentile,LNT1O_Percentile,LNT1S_Percentile,LNT2H_Percentile,LNT2O_Percentile,LNT2S_Percentile,LNT3H_Percentile,LNT3O_Percentile,LNT3S_Percentile,LOBCH_Percentile,LOBCO_Percentile,LOBCS_Percentile,LOPENH_Percentile,LOPENO_Percentile,LOPENS_Percentile,LSCH_Percentile,LSCO_Percentile,LSCS_Percentile,LSTH_Percentile,LSTO_Percentile,LSTS_Percentile,LVJH_Percentile,LVJO_Percentile,LVJS_Percentile,MI_Percentile,ORPHAN_Percentile,PWDOBCH_Percentile,PWDOBCS_Percentile,PWDOPENH_Percentile,PWDOPENS_Percentile,PWDRNT1S_Percentile,PWDRNT2H_Percentile,PWDRNT2S_Percentile,PWDROBC_Percentile,PWDRSCH_Percentile,PWDRSCS_Percentile,PWDRVJH_Percentile,PWDRVJS_Percentile,PWDSCH_Percentile,PWDSCS_Percentile,TFWS_Percentile
101219110,"Government College of Engineering,Yavatmal",Civil Engineering,,,,,,,,,,,,91336,,,101205,,,,,,74172,,,71840,,,79705,,,102216,,,75155,,,,,,,,,,,,87000,,,85052,,,109364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.4227966,,,29.3331437,,,,,,54.5241174,,,56.7650587,,,50.5614783,,,28.4814025,,,54.1246150,,,,,,,,,,,,43.3167495,,,45.6704109,,,19.8474395,,,,,,,,,,,,,,,,,,,,,,,,
101219110,"Government College of Engineering,Yavatmal",Civil Engineering,,,,,,,,,,97934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56874,,,,,,,,,,32.5908894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.4472840
101224510,"Government College of Engineering,Yavatmal",Computer Engineering,,,,,,,,,,,29891,,,29197,,,32709,,,26900,,,24879,,,32136,,,79961,,,25236,,,,,,,,,,,,22081,,,19777,,,40577,,,47880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.8902317,,,84.1949276,,,82.3877908,,,85.6064920,,,86.5576404,,,82.5977600,,,50.5614783,,,86.4021980,,,,,,,,,,,,88.0916175,,,89.3887863,,,77.8495773,,,72.9031949,,,,,,,,,,,,,,,,,,,,,,
101224510,"Government College of Engineering,Yavatmal",Computer Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0709457,,,,,,,,,,,,
101224510,"Government College of Engineering,Yavatmal",Computer Engineering,,,,,,,,,,,,,,,28088,,,,,,17108,,,16974,,,20041,,,68909,,,17475,,,,,,,,,,,,18498,,,12513,,,21545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.8888044,,,,,,90.8078665,,,90.8511759,,,89.2369593,,,59.0639291,,,90.5561883,,,,,,,,,,,,90.0081429,,,93.1886737,,,88.4671878,,,,,,,,,,,,,,,,,,,,,,,,
101224510,"Government College of Engineering,Yavatmal",Computer Engineering,,48009,,,,74646,,,,24163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10149,,72.9031949,,,,54.1664697,,,,87.0240046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.4876909
101229310,"Government College of Engineering,Yavatmal",Electrical Engineering,,,,,,,,,,,84691,,,64003,,,72385,,,66703,,,59291,,,89956,,,95997,,,67364,,,,,,,,,,,,55708,,,50247,,,87804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.9187639,,,62.3799839,,,56.3628587,,,60.6284658,,,65.7244332,,,41.4815869,,,35.3945703,,,60.0860804,,,,,,,,,,,,68.2985361,,,71.6451268,,,42.8034319,,,,,,,,,,,,,,,,,,,,,,,,,
101229310,"Government College of Engineering,Yavatmal",Electrical Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4299468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101229310,"Government College of Engineering,Yavatmal",Electrical Engineering,,,,,,,,,,,,,,,75707,,,87356,,,51215,,,44899,,,51672,,,105465,,,71131,,,,,,,,,,,,42271,,,41803,,,48397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.8866742,,,43.3051128,,,71.1253958,,,75.1821980,,,70.9370842,,,24.8766135,,,57.0638559,,,,,,,,,,,,76.6964455,,,77.0311313,,,72.8897104,,,,,,,,,,,,,,,,,,,,,,,,
101229310,"Government College of Engineering,Yavatmal",Electrical Engineering,,117538,,,,,,,,71061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44044,,8.6023034,,,,,,,,57.2112851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.6049358
101237210,"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,,,,,,,,,,,51553,,,50917,,,68536,,,47845,,,41714,,,63707,,,,,,66207,,,,,,,,,,,,41348,,,39093,,,53982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.9370842,,,71.2367422,,,59.4192464,,,73.2440997,,,77.0666918,,,62.3954246,,,,,,60.7344231,,,,,,,,,,,,77.0895594,,,78.4825990,,,69.3871747,,,,,,,,,,,,,,,,,,,,,,,,,
101237210,"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.7166438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101237210,"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,,,,,,,,,,,,78475,,,44313,,,,,,33370,,,32850,,,39550,,,82212,,,62004,,,,,,,,,,,,28138,,,25216,,,36376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.2359011,,,75.5619344,,,,,,81.8334533,,,82.3797757,,,78.3496848,,,48.2193247,,,64.0075195,,,,,,,,,,,,84.8685155,,,86.4021980,,,80.2788844,,,,,,,,,,,,,,,,,,,,,,,,
101237210,"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,,101980,,,,102806,,,,44532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25137,,28.6995083,,,,28.1605922,,,,75.4846987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.4021980
101261210,"Government College of Engineering,Yavatmal",Mechanical Engineering,,,,,,,,,,,92687,,,95363,,,108413,,,84149,,,70771,,,100838,,,120495,,,72461,,,,,,,,,,,,102356,,,96418,,,108877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6417086,,,35.6983743,,,21.2317049,,,46.1727561,,,57.4413646,,,29.3528763,,,4.0235666,,,56.3628587,,,,,,,,,,,,28.4814025,,,35.1475881,,,20.3613489,,,,,,,,,,,,,,,,,,,,,,,,,
101261210,"Government College of Engineering,Yavatmal",Mechanical Engineering,,,,,,,,,,,,91577,,,105330,,,,,,60490,,,46795,,,52550,,,,,,,,,,,,,,,,,,87613,,,74869,,,75442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.4196471,,,25.0367211,,,,,,64.8863260,,,74.1161376,,,70.2135829,,,,,,,,,,,,,,,,,,43.0138429,,,54.1664697,,,53.9262430,,,,,,,,,,,,,,,,,,,,,,,,
