Sr. No.,Institute Code,Institute Name,Status,Total Intake
91.0,3204,"St. Francis Institute of Technology,Borivali, Mumbai","Un-Aided, Autonomous, Religious Minority - Christian",660
92.0,3206,"S.S.P.M.'s College of Engineering, Kankavli",Un-Aided,330
93.0,3207,"Mahatma Education Society's Pillai College of Engineering, New Panvel","Un-Aided, Autonomous, Linguistic Minority - Malyalam",630
94.0,3208,"Don Bosco Institute of Technology, Mumbai","Un-Aided, Religious Minority - Roman Catholics",300
95.0,3209,K J Somaiya Institute of Technology,"Un-Aided, Autonomous, Linguistic Minority - Gujarathi",480
96.0,3210,"Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri, Thane (E)","Un-Aided, Linguistic Minority - Punjabi",420
97.0,3211,"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai","Un-Aided, Autonomous, Linguistic Minority - Tamil",600
98.0,3212,"Watumull Institute of Engineering & Technology, Ulhasnagar","Un-Aided, Linguistic Minority - Sindhi",210
99.0,3214,"Xavier Institute Of Engineering C/O Xavier Technical Institute,Mahim,Mumbai","Un-Aided, Religious Minority - Christian",240
100.0,3215,"Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology , Andheri, Mumbai","Un-Aided, Autonomous",480
101.0,3216,"Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri",Un-Aided,300
102.0,3217,"Vighnaharata Trust's Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane",Un-Aided,300
103.0,3218,"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar","Un-Aided, Autonomous, Religious Minority - Christian",420
104.0,3219,"Koti Vidya Charitable Trust's Smt. Alamuri Ratnamala Institute of Engineering and Technology, Sapgaon, Tal. Shahapur","Un-Aided, Linguistic Minority - Hindi",420
105.0,3220,Yadavrao Tasgaonkar College of Engineering & Management ,Un-Aided,294
106.0,3221,"Vishnu Waman Thakur Charitable Trust's VIVA Institute of Technology, Virar",Un-Aided,420
107.0,3222,"Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege Betegaon, Boisar","Un-Aided, Religious Minority - Muslim",360
108.0,3223,"Mahatma Education Society's Pillai HOC College of Engineering & Technology, Tal. Khalapur. Dist. Raigad","Un-Aided, Linguistic Minority - Malyalam",540
109.0,3224,"Leela Education Society, G.V. Acharya Institute of Engineering and Technology, Shelu, Karjat",Un-Aided,270
110.0,3257,"Vidya Prasarak Mandal's College of Engineering, Thane",Un-Aided,300
111.0,3277,Pravin Rohidas Patil College of Engineering & Technology,Un-Aided,360
112.0,3351,"Bharat College of Engineering, Kanhor, Badlapur(W)",Un-Aided,330
113.0,3353,"Dilkap Research Institute Of Engineering and Management Studies, At.Mamdapur, Post- Neral, Tal- Karjat, Mumbai",Un-Aided,390
114.0,3423,"Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai","Un-Aided, Linguistic Minority - Hindi",540
115.0,3436,"B.R. Harne College of Engineering & Technology, Karav, Tal-Ambernath.",Un-Aided,330
116.0,3439,"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel","Un-Aided, Religious Minority - Muslim",480
117.0,3440,"Metropolitan Institute of Technology & Management, Sukhalwad, Sindhudurg.",Un-Aided,270
118.0,3445,"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik Institute Of Technology & Research",Un-Aided,210
119.0,3447,"G.M.Vedak Institute of Technology, Tala, Raigad.",Un-Aided,120
120.0,3460,"Universal College of Engineering,Kaman Dist. Palghar","Un-Aided, Linguistic Minority - Gujarathi",420
121.0,3462,"VPM's Maharshi Parshuram College of Engineering, Velneshwar, Ratnagiri.",Un-Aided,180
122.0,3465,"Ideal Institute of Technology, Wada, Dist.Thane",Un-Aided,240
123.0,3467,"Vishwaniketan's Institute of Management Entrepreneurship and Engineering Technology(i MEET), Khalapur Dist Raigad",Un-Aided,420
124.0,3470,YASHWANTRAO BHONSALE INSTITUTE OF TECHNOLOGY,Un-Aided,300
125.0,3471,"New Horizon Institute of Technology & Management, Thane",Un-Aided,360
126.0,3475,"A. P. Shah Institute of Technology, Thane","Un-Aided, Religious Minority - Jain",720
127.0,3477,"Chhartrapati Shivaji Maharaj Institute of Technology, Shedung, Panvel",Un-Aided,300
