collegeid,college name,merit number,seat type,percentile
111719110,1117,117458,AI,22.9132251
253319110,2533,117544,AI,22.4871071
211301110,2113,117890,AI,22.1694264
322129310,3221,117914,AI,22.1694264
538037210,5380,117953,AI,22.1694264
414199510,4141,118177,AI,21.5067519
110561210,1105,118245,AI,21.5067519
679924510,6799,118623,AI,20.8205322
110519110,1105,118694,AI,20.3613489
614961210,6149,118897,AI,20.2327920
631529310,6315,119272,AI,19.4998540
662884410,6628,119295,AI,19.4998540
510684410,5106,119367,AI,19.2567241
630837210,6308,119575,AI,19.1072714
683919110,6839,119845,AI,18.3757840
464824210,4648,119916,AI,18.3757840
211229310,2112,119937,AI,18.3037194
510961210,5109,119992,AI,18.3037194
213137210,2131,120039,AI,18.3037194
518129310,5181,120255,AI,17.5316365
621729310,6217,120259,AI,17.5316365
678061210,6780,120634,AI,17.0051501
320029310,3200,120685,AI,17.0051501
662261210,6622,121230,AI,16.0971905
621924210,6219,121315,AI,15.6956852
410461210,4104,121366,AI,15.6956852
213037210,2130,121445,AI,15.5460791
625019110,6250,121546,AI,15.1013848
664061210,6640,121633,AI,15.1013848
673260210,6732,121844,AI,14.9316558
510429310,5104,121881,AI,14.7866072
631929310,6319,122081,AI,14.6195704
112050710,1120,122158,AI,14.2356611
675929310,6759,122164,AI,14.2356611
541819110,5418,122310,AI,14.2210761
679729310,6797,122364,AI,13.7713294
211361210,2113,122447,AI,13.7713294
320061210,3200,122506,AI,13.5440394
319019110,3190,122610,AI,13.5287968
461361210,4613,123017,AI,12.6735864
675629310,6756,123018,AI,12.6735864
347162410,3471,123024,AI,12.6735864
322329310,3223,123072,AI,12.4299468
112319110,1123,123121,AI,12.4299468
317550710,3175,123127,AI,12.4299468
112661210,1126,123208,AI,12.2194150
628419110,6284,123755,AI,11.2993545
622289510,6222,123829,AI,10.7718485
111961210,1119,123897,AI,10.6465496
111761210,1117,124020,AI,10.5662165
428529310,4285,124209,AI,10.4564832
621919110,6219,124226,AI,10.4564832
517729310,5177,124259,AI,10.1982314
630437210,6304,124260,AI,10.1982314
630761210,6307,124307,AI,10.1982314
512550710,5125,124328,AI,10.1982314
335392110,3353,124335,AI,10.1518026
510991610,5109,124346,AI,10.0599952
678137210,6781,124523,AI,9.9445363
414219110,4142,124595,AI,9.5134004
112019110,1120,124628,AI,9.2499758
631961210,6319,124646,AI,9.2499758
318719110,3187,124682,AI,9.2499758
318750710,3187,124750,AI,9.2444950
515261210,5152,125193,AI,8.3849292
517099410,5170,125208,AI,8.3849292
680361210,6803,125315,AI,8.0762868
416361210,4163,125361,AI,7.7836913
126519110,1265,125381,AI,7.7836913
678224210,6782,125399,AI,7.7836913
