Id,College Name,Course,DEFOBCS,DEFOPENS,DEFRNT1S,DEFRNT2S,DEFRNT3S,DEFROBCS,DEFRSCS,DEFRVJS,DEFSCS,EWS,GNT1H,GNT1O,GNT1S,GNT2H,GNT2O,GNT2S,GNT3H,GNT3O,GNT3S,GOBCH,GOBCO,GOBCS,GOPENH,GOPENO,GOPENS,GSCH,GSCO,GSCS,GSTH,GSTO,GSTS,GVJH,GVJO,GVJS,LNT1H,LNT1O,LNT1S,LNT2H,LNT2O,LNT2S,LNT3H,LNT3O,LNT3S,LOBCH,LOBCO,LOBCS,LOPENH,LOPENO,LOPENS,LSCH,LSCO,LSCS,LSTH,LSTO,LSTS,LVJH,LVJO,LVJS,MI,ORPHAN,PWDOBCH,PWDOBCS,PWDOPENH,PWDOPENS,PWDRNT1S,PWDRNT2H,PWDROBC,PWDRSCH,PWDRSCS,PWDRVJS,TFWS,DEFOBCS_Percentile,DEFOPENS_Percentile,DEFRNT1S_Percentile,DEFRNT2S_Percentile,DEFRNT3S_Percentile,DEFROBCS_Percentile,DEFRSCS_Percentile,DEFRVJS_Percentile,DEFSCS_Percentile,EWS_Percentile,GNT1H_Percentile,GNT1O_Percentile,GNT1S_Percentile,GNT2H_Percentile,GNT2O_Percentile,GNT2S_Percentile,GNT3H_Percentile,GNT3O_Percentile,GNT3S_Percentile,GOBCH_Percentile,GOBCO_Percentile,GOBCS_Percentile,GOPENH_Percentile,GOPENO_Percentile,GOPENS_Percentile,GSCH_Percentile,GSCO_Percentile,GSCS_Percentile,GSTH_Percentile,GSTO_Percentile,GSTS_Percentile,GVJH_Percentile,GVJO_Percentile,GVJS_Percentile,LNT1H_Percentile,LNT1O_Percentile,LNT1S_Percentile,LNT2H_Percentile,LNT2O_Percentile,LNT2S_Percentile,LNT3H_Percentile,LNT3O_Percentile,LNT3S_Percentile,LOBCH_Percentile,LOBCO_Percentile,LOBCS_Percentile,LOPENH_Percentile,LOPENO_Percentile,LOPENS_Percentile,LSCH_Percentile,LSCO_Percentile,LSCS_Percentile,LSTH_Percentile,LSTO_Percentile,LSTS_Percentile,LVJH_Percentile,LVJO_Percentile,LVJS_Percentile,MI_Percentile,ORPHAN_Percentile,PWDOBCH_Percentile,PWDOBCS_Percentile,PWDOPENH_Percentile,PWDOPENS_Percentile,PWDRNT1S_Percentile,PWDRNT2H_Percentile,PWDROBC_Percentile,PWDRSCH_Percentile,PWDRSCS_Percentile,PWDRVJS_Percentile,TFWS_Percentile
544961210,"Shri Vile Parle Kelavani Mandal's Institute of Technology, Dhule",Mechanical Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.8820508
600419110,"Government College of Engineering & Research, Avasari Khurd",Civil Engineering,,,,,,,,,,,34222,,,32717,,,26059,,,28333,,,21729,,,41132,,,45529,,,27906,,,,,,38945,,,,,,23834,,,18938,,,35424,,,38517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.6059227,,,76.8723787,,,81.8333472,,,80.1934435,,,84.9867329,,,69.7947431,,,65.8820508,,,80.4821086,,,,,,71.8029172,,,,,,83.4361164,,,86.9463675,,,74.6994943,,,71.9509242,,,,,,,,,,,,,,,,,,
600419110,"Government College of Engineering & Research, Avasari Khurd",Civil Engineering,,,,,,,,,,,,,,,,,,,,,18225,,,15104,,,24894,,,43538,,,,,,,,,,,,,,,16857,,,14088,,,,,,40493,,,42952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.4235557,,,89.5917145,,,82.7253759,,,68.0039706,,,,,,,,,,,,,,,88.3859736,,,90.2594711,,,,,,70.2987246,,,68.2279301,,,,,,,,,,,,,,
600419110,"Government College of Engineering & Research, Avasari Khurd",Civil Engineering,,40364,,,,68169,,,,17925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13660,,70.4657357,,,,38.3158243,,,,87.6624335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.5613976
600424510,"Government College of Engineering & Research, Avasari Khurd",Computer Engineering,,,,,,,,,,,17031,,,10309,,,16493,,,9207,,,7770,,,19202,,,37862,,,,,,,,,,,,,,,9854,,,8727,,,23634,,,37426,,,30996,,,,,,,50690,,,,,,,,,,,,,,,,,,,88.2637824,,,92.8124325,,,88.6370348,,,93.5697957,,,94.5269017,,,86.7648275,,,72.6684904,,,,,,,,,,,,,,,93.1224559,,,93.9276207,,,83.6524911,,,73.1435735,,,78.2265210,,,,,,,60.5737104,,,,,,,,
600424510,"Government College of Engineering & Research, Avasari Khurd",Computer Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1971807,,,,
600424510,"Government College of Engineering & Research, Avasari Khurd",Computer Engineering,,,,,,,,,,,,,,,8119,,,,,,6394,,,6155,,,11526,,,38730,,,7913,,,12888,,,,,,,,,8212,,,6853,,,13138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.3336831,,,,,,95.5152118,,,95.6644284,,,92.0251836,,,71.8983558,,,94.4694344,,,91.0871777,,,,,,,,,94.2757879,,,95.1872550,,,90.9151243,,,,,,,,,,,,,,,,,,,,
600424510,"Government College of Engineering & Research, Avasari Khurd",Computer Engineering,,14023,,,,17723,,,,5911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50627,,,,,,,,,,,3575,,90.3542062,,,,87.7165216,,,,95.8126484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.5737104,,,,,,,,,,,97.4098856
600437210,"Government College of Engineering & Research, Avasari Khurd",Electronics and Telecommunication Engg,,,,,,,,,,,34621,,,23904,,,17998,,,23526,,,17350,,,39479,,,67693,,,,,,,,,,,,,,,22893,,,17173,,,55954,,,79368,,,50338,,,,,,,,,,,,,,,,,,,,,,,,,,75.3692918,,,83.3816935,,,87.6316015,,,83.7542269,,,87.9873006,,,71.3623956,,,39.4861193,,,,,,,,,,,,,,,84.2290812,,,88.1835221,,,54.5240027,,,19.7064537,,,61.0135990,,,,,,,,,,,,,,,
600437210,"Government College of Engineering & Research, Avasari Khurd",Electronics and Telecommunication Engg,,,,,,,,,,,,,,,,,,,,,13672,,,13282,,,20762,,,71586,,,37304,,,,,,13953,,,,,,12753,,,11619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.5079656,,,90.8751696,,,85.6805532,,,33.3333333,,,73.2585596,,,,,,90.3620677,,,,,,91.1789509,,,91.9284430,,,,,,,,,,,,,,,,,,,,,,,
600437210,"Government College of Engineering & Research, Avasari Khurd",Electronics and Telecommunication Engg,,42455,,,,,,,,15066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9167,,68.4043707,,,,,,,,89.6128658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.6017557
600446410,"Government College of Engineering & Research, Avasari Khurd",Instrumentation and Control Engineering,,,,,,,,,,,,,,84532,,,74697,,,86513,,,52886,,,81842,,,,,,,,,,,,73570,,,,,,81817,,,46906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7405289,,,28.1826454,,,5.3382267,,,58.0950012,,,14.8518847,,,,,,,,,,,,29.9393300,,,,,,14.8518847,,,64.3014156,,,,,,,,,,,,,,,,,,,,,,,,
600446410,"Government College of Engineering & Research, Avasari Khurd",Instrumentation and Control Engineering,,,,,,,,,,,,,,,,,,,,35708,,,,,,57438,,,,,,56371,,,,,,,,,,,,,,,,,,37901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.4860848,,,,,,52.9257123,,,,,,54.1568222,,,,,,,,,,,,,,,,,,72.6684904,,,,,,,,,,,,,,,,,,,,,
600446410,"Government College of Engineering & Research, Avasari Khurd",Instrumentation and Control Engineering,,,,,,,,,,,,87012,,,,,,,,,33969,,,30351,,,60435,,,,,,,,,,,,,,,26253,,,,,,24693,,,48172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1871716,,,,,,,,,75.9694012,,,78.7232248,,,49.4727527,,,,,,,,,,,,,,,81.7270113,,,,,,82.8747628,,,63.1562302,,,,,,,,,,,,,,,,,,,,
600446410,"Government College of Engineering & Research, Avasari Khurd",Instrumentation and Control Engineering,,,,,,,,,,37182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26831,,,,,,,,,,73.3931241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.3053751
